iter	Passed	Remaining
0	928	4639580
1	1247	3116952
2	1574	2621919
3	1879	2347315
4	2194	2192212
5	2492	2074381
6	2786	1987223
7	3091	1929262
8	3377	1873186
9	3704	1848651
10	4031	1828568
11	4386	1823350
12	4697	1801872
13	4984	1775219
14	5265	1749936
15	5549	1728743
16	5822	1706701
17	6112	1691799
18	6390	1675234
19	6666	1659860
20	7000	1659885
21	7341	1661253
22	7662	1658036
23	7990	1656761
24	8293	1650489
25	8613	1647795
26	9353	1722726
27	10116	1796381
28	10928	1873380
29	11363	1882631
30	11767	1886290
31	12115	1880928
32	12416	1868868
33	12722	1858216
34	13030	1848405
35	13334	1838747
36	13629	1828167
37	13940	1820299
38	14248	1812525
39	14552	1804518
40	14855	1796789
41	15173	1791239
42	15479	1784456
43	15774	1776740
44	16092	1771975
45	16402	1766430
46	16698	1759775
47	17006	1754539
48	17315	1749523
49	17617	1744096
50	17920	1738988
51	18261	1737687
52	18559	1732336
53	18869	1728345
54	19185	1724927
55	19482	1720038
56	19779	1715301
57	20087	1711578
58	20394	1707915
59	20694	1703847
60	21019	1701859
61	21321	1698174
62	21621	1694340
63	21922	1690760
64	22216	1686772
65	22499	1682025
66	22784	1677540
67	23089	1674692
68	23383	1671054
69	23661	1666431
70	23948	1662552
71	24254	1660083
72	24538	1656150
73	24826	1652644
74	25143	1651108
75	25459	1649486
76	25743	1645886
77	26063	1644680
78	26377	1643105
79	26659	1639573
80	26949	1636583
81	27254	1634593
82	27539	1631490
83	27839	1629268
84	28136	1626968
85	28440	1625057
86	28716	1621645
87	29012	1619422
88	29292	1616343
89	29592	1614413
90	29886	1612211
91	30181	1610093
92	30471	1607793
93	30751	1604973
94	31037	1602503
95	31330	1600479
96	31615	1598038
97	31893	1595345
98	32195	1593853
99	32495	1592303
100	32792	1590607
101	33121	1590492
102	33401	1588047
103	33695	1586291
104	33996	1584878
105	34299	1583594
106	34583	1581458
107	34865	1579299
108	35157	1577573
109	35435	1575284
110	35716	1573143
111	36011	1571661
112	36299	1569880
113	36586	1568095
114	36864	1565929
115	37163	1564691
116	37444	1562756
117	37735	1561237
118	38036	1560140
119	38327	1558635
120	38622	1557357
121	38920	1556198
122	39208	1554617
123	39511	1553684
124	39805	1552398
125	40102	1551247
126	40392	1549871
127	40683	1548510
128	40974	1547199
129	41274	1546203
130	41558	1544656
131	41847	1543286
132	42147	1542363
133	42446	1541390
134	42747	1540507
135	43045	1539516
136	43335	1538235
137	43621	1536880
138	43916	1535802
139	44209	1534712
140	44507	1533782
141	44787	1532246
142	45086	1531377
143	45369	1529965
144	45660	1528838
145	45971	1528389
146	46250	1526886
147	46528	1525373
148	46814	1524153
149	47113	1523347
150	47401	1522181
151	47731	1522371
152	48027	1521487
153	48311	1520253
154	48592	1518893
155	48901	1518449
156	49195	1517548
157	49478	1516282
158	49783	1515735
159	50074	1514740
160	50390	1514521
161	50679	1513493
162	50970	1512535
163	51268	1511804
164	51575	1511311
165	51875	1510640
166	52157	1509441
167	52450	1508568
168	52745	1507758
169	53046	1507151
170	53327	1505950
171	53611	1504856
172	53962	1505651
173	54290	1505769
174	54630	1506242
175	54974	1506803
176	55304	1506978
177	55612	1506544
178	55930	1506380
179	56231	1505766
180	56528	1505044
181	56856	1505140
182	57179	1505094
183	57533	1505872
184	57884	1506561
185	58185	1505941
186	58519	1506180
187	58842	1506106
188	59150	1505673
189	59452	1505075
190	59751	1504432
191	60077	1504433
192	60380	1503876
193	60689	1503464
194	61017	1503538
195	61316	1502872
196	61628	1502552
197	61930	1501980
198	62226	1501253
199	62539	1500940
200	62837	1500284
201	63160	1500208
202	63486	1500221
203	63793	1499781
204	64087	1499018
205	64417	1499115
206	64738	1498996
207	65056	1498795
208	65371	1498537
209	65694	1498453
210	66016	1498345
211	66315	1497732
212	66635	1497577
213	66952	1497366
214	67259	1496905
215	67569	1496535
216	67891	1496434
217	68210	1496239
218	68516	1495777
219	68821	1495298
220	69118	1494639
221	69427	1494247
222	69731	1493764
223	70055	1493682
224	70349	1492981
225	70651	1492431
226	70969	1492230
227	71274	1491753
228	71561	1490921
229	71883	1490802
230	72182	1490215
231	72497	1489952
232	72822	1489898
233	73132	1489522
234	73435	1489030
235	73745	1488653
236	74052	1488240
237	74377	1488177
238	74716	1488382
239	75076	1489019
240	75380	1488528
241	75686	1488085
242	75980	1487399
243	76284	1486928
244	76602	1486718
245	76926	1486618
246	77253	1486580
247	77572	1486396
248	77873	1485855
249	78163	1485115
250	78453	1484363
251	78788	1484467
252	79073	1483640
253	79355	1482765
254	79640	1481941
255	79946	1481500
256	80237	1480810
257	80526	1480060
258	80826	1479526
259	81107	1478647
260	81400	1477998
261	81711	1477660
262	81999	1476932
263	82560	1481083
264	82860	1480538
265	83151	1479846
266	83431	1478950
267	83730	1478408
268	84016	1477624
269	84297	1476766
270	84583	1476006
271	84881	1475439
272	85170	1474736
273	85463	1474085
274	85760	1473526
275	86067	1473127
276	86371	1472681
277	86662	1472022
278	86967	1471589
279	87284	1471364
280	87578	1470750
281	87876	1470214
282	88160	1469447
283	88443	1468663
284	88754	1468345
285	89074	1468178
286	89368	1467582
287	89671	1467128
288	89962	1466481
289	90251	1465800
290	90540	1465136
291	90835	1464574
292	91123	1463892
293	91411	1463204
294	91703	1462588
295	91995	1461982
296	92284	1461319
297	92575	1460708
298	92881	1460321
299	93187	1459938
300	93486	1459451
301	93834	1459716
302	94136	1459264
303	94435	1458777
304	94749	1458521
305	95053	1458112
306	95354	1457642
307	95651	1457136
308	95955	1456722
309	96256	1456262
310	96547	1455660
311	96861	1455403
312	97155	1454851
313	97449	1454296
314	97752	1453869
315	98056	1453463
316	98355	1452989
317	98649	1452447
318	98957	1452103
319	99255	1451604
320	99578	1451489
321	99931	1451797
322	100288	1452158
323	100619	1452156
324	100964	1452332
325	101569	1456248
326	102039	1458202
327	102559	1460842
328	103101	1463785
329	103552	1465423
330	103877	1465269
331	104190	1464946
332	104493	1464482
333	104842	1464652
334	105311	1466500
335	105659	1466661
336	106248	1470132
337	106742	1472289
338	107057	1471966
339	107360	1471467
340	107667	1471039
341	107991	1470831
342	108296	1470374
343	108616	1470113
344	108949	1470028
345	109262	1469676
346	109563	1469157
347	109873	1468768
348	110176	1468289
349	110478	1467783
350	110793	1467460
351	111119	1467286
352	111425	1466836
353	111732	1466412
354	112034	1465917
355	112353	1465647
356	112654	1465136
357	112962	1464728
358	113245	1463985
359	113542	1463439
360	113837	1462861
361	114126	1462206
362	114411	1461505
363	114706	1460927
364	115008	1460448
365	115304	1459895
366	115586	1459157
367	115887	1458670
368	116179	1458066
369	116462	1457348
370	116768	1456928
371	117063	1456367
372	117344	1455635
373	117653	1455259
374	117951	1454731
375	118275	1454542
376	118592	1454247
377	118966	1454666
378	119289	1454452
379	119608	1454191
380	119913	1453756
381	120203	1453137
382	120498	1452584
383	120793	1452037
384	121188	1452691
385	121508	1452431
386	121875	1452739
387	122219	1452774
388	122552	1452677
389	122898	1452724
390	123237	1452688
391	123520	1451991
392	123818	1451479
393	124118	1450987
394	124419	1450510
395	124728	1450124
396	125033	1449698
397	125329	1449162
398	125631	1448703
399	125937	1448278
400	126245	1447885
401	126581	1447813
402	126903	1447580
403	127205	1447119
404	127522	1446828
405	127840	1446551
406	128149	1446173
407	128451	1445711
408	128761	1445341
409	129088	1445156
410	129389	1444696
411	129695	1444279
412	130005	1443916
413	130308	1443471
414	130614	1443051
415	130921	1442658
416	131225	1442218
417	131531	1441815
418	131879	1441862
419	132191	1441519
420	132493	1441068
421	132815	1440825
422	133120	1440412
423	133420	1439935
424	133735	1439624
425	134038	1439179
426	134346	1438800
427	134659	1438463
428	134966	1438074
429	135266	1437602
430	135572	1437192
431	135884	1436847
432	136192	1436471
433	136489	1435968
434	136808	1435700
435	137111	1435265
436	137402	1434712
437	137717	1434397
438	138021	1433972
439	138324	1433547
440	138624	1433076
441	138928	1432656
442	139233	1432246
443	139534	1431804
444	139847	1431472
445	140153	1431072
446	140454	1430621
447	140762	1430248
448	141071	1429880
449	141371	1429425
450	141675	1429010
451	142019	1428995
452	142328	1428626
453	142635	1428243
454	142954	1427977
455	143255	1427532
456	143583	1427351
457	143929	1427348
458	144275	1427357
459	144611	1427255
460	144953	1427210
461	145298	1427195
462	145631	1427063
463	145966	1426947
464	146271	1426536
465	146566	1426038
466	146890	1425812
467	147195	1425409
468	147501	1425011
469	147815	1424689
470	148117	1424254
